Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
PABPN1	"OPMD, PAB2, PABP2"	ENSG00000100836	"Poly(A) binding protein nuclear 1"	Q86U42	14	23321457-23326163	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"mRNA processing"	RNA-binding	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA000637, HPA079093"	Supported		Supported	"Nucleoplasm,Nuclear speckles"			NA	NA		7400	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 78: Testis - Transcription"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 61: Plasma cells - Immunoglobulins & histones"	18	"Nucleoplasm, Nuclear speckles"		"HPA000637: AB_1079553, HPA079093: "	"unprognostic (1.01e-1)"	"unprognostic (4.15e-3)"	"unprognostic (9.02e-2)"	"unprognostic (1.10e-2)"	"unprognostic (2.26e-1)"	"unprognostic (3.82e-2)"	"unprognostic (7.96e-2)"	"unprognostic (2.40e-4)"	"unprognostic (6.21e-2)"	"unprognostic (1.54e-1)"	"unprognostic (1.52e-7)"	"unprognostic (2.25e-1)"	"unprognostic (1.37e-1)"	"unprognostic (7.92e-4)"	"unprognostic (8.15e-3)"	"unprognostic (2.95e-2)"	"unprognostic (2.54e-3)"	"unprognostic (9.06e-4)"	"unprognostic (4.27e-3)"	"unprognostic (1.99e-2)"	"unprognostic (1.27e-2)"	"unprognostic (2.82e-2)"	"unprognostic (6.54e-2)"	"unprognostic (1.06e-1)"	"unprognostic (2.20e-1)"	"unprognostic (1.45e-2)"	"unprognostic (1.70e-2)"	"unprognostic (2.27e-1)"	"unprognostic (1.03e-1)"	"unprognostic (2.49e-1)"	"unprognostic (1.15e-1)"
PACSIN2	SDPII	ENSG00000100266	"Protein kinase C and casein kinase substrate in neurons 2"	Q9UNF0	22	42835412-43015149	"Predicted intracellular proteins"	Endocytosis			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 96.2"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA049854, HPA056520"	Enhanced		Approved	"Nuclear speckles,Vesicles,Plasma membrane,Primary cilium,Centriolar satellite"			NA	NA		2000000	"Cluster 7: Non-specific - Innate immune response"	"Cluster 68: Non-specific - Protein processing"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 9: Skin cancer - Melanin biosynthesis"	"Cluster 5: Enterocytes - Absorption"	46	"Nuclear speckles, Plasma membrane"	"Vesicles, Primary cilium, Centriolar satellite"	"HPA049854: AB_2680915, HPA056520: AB_2683163"	"unprognostic (4.23e-3)"	"unprognostic (4.67e-2)"	"unprognostic (9.66e-2)"	"unprognostic (4.21e-2)"	"unprognostic (1.18e-2)"	"unprognostic (6.50e-3)"	"unprognostic (1.21e-2)"	"unprognostic (1.59e-2)"	"unprognostic (1.31e-1)"	"unprognostic (4.08e-1)"	"unprognostic (3.87e-7)"	"unprognostic (6.21e-5)"	"unprognostic (8.37e-4)"	"unprognostic (1.38e-4)"	"unprognostic (1.21e-2)"	"unprognostic (3.04e-1)"	"unprognostic (8.42e-2)"	"unprognostic (6.39e-2)"	"unprognostic (6.91e-2)"	"unprognostic (2.83e-2)"	"unprognostic (1.19e-1)"	"unprognostic (2.67e-2)"	"unprognostic (3.81e-2)"	"unprognostic (1.72e-1)"	"unprognostic (3.81e-2)"	"unprognostic (5.65e-2)"	"unprognostic (2.34e-1)"	"unprognostic (1.78e-1)"	"unprognostic (2.88e-1)"	"unprognostic (2.63e-2)"	"unprognostic (4.28e-2)"
PAGE3	"CT16.6, GAGED1, PAGE-3"	ENSG00000204279	"PAGE family member 3"	Q5JUK9	X	55258415-55264916	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	75	"testis: 7.4"	"Group enriched"	"Detected in some"	53	"Early spermatids: 81.0;Late spermatids: 314.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Late spermatids"									"HPA045032, HPA062248"	Uncertain		Approved	"Nucleoplasm,Nuclear speckles"			NA	NA				"Cluster 10: Testis - Spermatid development"		"Cluster 27: Breast cancer - Unknown function"	"Cluster 63: Late spermatids - Spermatogenesis"	4	"Nuclear speckles"	Nucleoplasm	"HPA045032: , HPA062248: AB_2684725"																															
PAK2	"PAK65, PAKgamma"	ENSG00000180370	"P21 (RAC1) activated kinase 2"	Q13177	3	196739857-196832647	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Apoptosis, Growth regulation, Host-virus interaction"	"Allosteric enzyme, Kinase, Serine/threonine-protein kinase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB007794, HPA067552"	Approved		Supported	"Nucleoplasm,Nuclear speckles,Focal adhesion sites,Cytosol"			NA	NA		1200000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 36: Lymphoid tissue - Cytokine signaling"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 63: Non-specific - Protein processing"	"Cluster 55: Non-specific - Transcription"	69	"Nucleoplasm, Nuclear speckles"	"Focal adhesion sites, Cytosol"	"CAB007794: AB_562363, HPA067552: "	"unprognostic (2.22e-1)"	"unprognostic (2.17e-2)"	"unprognostic (1.80e-1)"	"unprognostic (2.79e-1)"	"unprognostic (1.65e-1)"	"unprognostic (8.83e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.24e-1)"	"unprognostic (1.29e-1)"	"unprognostic (3.73e-3)"	"unprognostic (4.44e-5)"	"unprognostic (7.01e-2)"	"unprognostic (4.03e-3)"	"unprognostic (3.28e-3)"	"unprognostic (2.58e-3)"	"unprognostic (2.69e-4)"	"unprognostic (2.61e-3)"	"unprognostic (8.54e-2)"	"unprognostic (1.86e-1)"	"unprognostic (2.87e-2)"	"unprognostic (5.02e-2)"	"unprognostic (5.19e-3)"	"unprognostic (7.44e-2)"	"unprognostic (1.58e-3)"	"unprognostic (5.85e-2)"	"unprognostic (6.05e-2)"	"unprognostic (2.39e-1)"	"unprognostic (9.96e-2)"	"unprognostic (5.05e-2)"	"unprognostic (2.42e-2)"	"unprognostic (3.67e-1)"
PALB2	"FANCN, FLJ21816"	ENSG00000083093	"Partner and localizer of BRCA2"	Q86YC2	16	23603160-23641321	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"DNA damage, DNA recombination, DNA repair"	DNA-binding	"Cancer-related genes, Disease variant, Fanconi anemia, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Spermatocytes: 29.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB014895, HPA057000, HPA059851"	Approved		Supported	"Nucleoplasm,Nuclear speckles"			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 78: Testis - Transcription"	"Cluster 55: Non-specific - Transcription"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 55: Non-specific - Transcription"	37	"Nucleoplasm, Nuclear speckles"		"CAB014895: , HPA057000: AB_2683307, HPA059851: "	"unprognostic (3.08e-1)"	"unprognostic (1.26e-1)"	"unprognostic (6.82e-2)"	"unprognostic (4.50e-3)"	"unprognostic (1.59e-2)"	"unprognostic (1.85e-1)"	"unprognostic (2.44e-1)"	"unprognostic (1.23e-3)"	"unprognostic (1.56e-2)"	"unprognostic (5.79e-3)"	"unprognostic (7.74e-3)"	"unprognostic (1.42e-1)"	"unprognostic (3.20e-1)"	"unprognostic (8.81e-4)"	"unprognostic (2.20e-3)"	"unprognostic (4.26e-2)"	"unprognostic (3.73e-3)"	"unprognostic (1.36e-1)"	"unprognostic (1.40e-1)"	"unprognostic (3.35e-2)"	"unprognostic (1.70e-1)"	"unprognostic (4.16e-4)"	"unprognostic (5.64e-2)"	"unprognostic (8.43e-2)"	"unprognostic (1.16e-2)"	"unprognostic (2.20e-1)"	"unprognostic (1.51e-2)"	"unprognostic (1.67e-1)"	"unprognostic (1.95e-1)"	"unprognostic (3.05e-1)"	"unprognostic (1.56e-1)"
PARN	DAN	ENSG00000140694	"Poly(A)-specific ribonuclease"	O95453	16	14435700-14632728	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Nonsense-mediated mRNA decay"	"Exonuclease, Hydrolase, Nuclease, RNA-binding"	"Disease variant, Dyskeratosis congenita"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA006314, CAB011673, HPA012010"	Supported		Supported	"Nuclear speckles"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 53: Non-specific - Glycosylation"	"Cluster 55: Non-specific - Transcription"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 79: Spermatocytes & Spermatogonia - Spermatogenesis"	24	"Nuclear speckles"		"CAB011673: AB_778216, HPA006314: AB_1079567, HPA012010: AB_1854976"	"unprognostic (1.09e-2)"	"unprognostic (3.21e-2)"	"unprognostic (1.62e-1)"	"unprognostic (9.74e-2)"	"unprognostic (3.81e-2)"	"unprognostic (9.90e-2)"	"unprognostic (6.29e-2)"	"unprognostic (4.85e-2)"	"unprognostic (1.26e-3)"	"unprognostic (6.59e-2)"	"unprognostic (3.33e-2)"	"unprognostic (8.87e-2)"	"unprognostic (9.71e-2)"	"unprognostic (1.13e-3)"	"unprognostic (5.54e-2)"	"unprognostic (2.04e-2)"	"unprognostic (3.43e-1)"	"unprognostic (1.15e-1)"	"unprognostic (6.14e-2)"	"unprognostic (1.59e-2)"	"unprognostic (6.36e-2)"	"unprognostic (6.64e-3)"	"unprognostic (1.85e-1)"	"unprognostic (2.24e-1)"	"unprognostic (1.04e-2)"	"unprognostic (2.23e-1)"	"unprognostic (1.64e-1)"	"unprognostic (2.53e-3)"	"unprognostic (1.00e-2)"	"unprognostic (7.74e-2)"	"unprognostic (1.09e-1)"
PASD1	CT63	ENSG00000166049	"PAS domain containing repressor 1"	Q8IV76	X	151563675-151676739	"Predicted intracellular proteins"	"Biological rhythms"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	157	"testis: 15.6"	"Group enriched"	"Detected in some"	15	"Spermatocytes: 20.6;Spermatogonia: 62.5"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Skin Cuteneous Melanoma (TCGA): 1.5;Testicular Germ Cell Tumor (TCGA): 1.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Myeloma: 9.0;skin cancer: 5.8"	"Testis - Spermatogonia"	"Not detected"	"Not detected"							"HPA011122, HPA011152"	Enhanced		Enhanced	"Nuclear speckles"			NA	NA				"Cluster 10: Testis - Spermatid development"		"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 67: Spermatogonia - Spermatogenesis"		"Nuclear speckles"		"HPA011122: AB_1854990, HPA011152: AB_1854991"																											"unprognostic (1.67e-2)"		"unprognostic (2.17e-1)"		
PCBP1	"hnRNP-E1, hnRNP-X, HNRPE1, HNRPX"	ENSG00000169564	"Poly(rC) binding protein 1"	Q15365	2	70087477-70089203	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Viral RNA replication"	"DNA-binding, Ribonucleoprotein, RNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Spleen - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB037113, HPA043803, HPA068497"	Approved		Supported	"Nucleoplasm,Nuclear speckles,Cytosol,Cytoplasmic bodies"			No	No		2300000	"Cluster 45: Eosinophils - Unknown function"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 55: Non-specific - Transcription"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 29: Monocytes - Innate immune response"	106	"Nuclear speckles"	"Nucleoplasm, Cytosol, Cytoplasmic bodies"	"CAB037113: AB_1840915, HPA043803: AB_2678676, HPA068497: AB_2685996"	"unprognostic (5.05e-2)"	"unprognostic (1.79e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.07e-1)"	"unprognostic (3.03e-1)"	"unprognostic (2.48e-1)"	"unprognostic (2.40e-1)"	"unprognostic (2.78e-3)"	"unprognostic (8.03e-3)"	"unprognostic (1.69e-1)"	"unprognostic (2.67e-10)"	"unprognostic (3.60e-3)"	"unprognostic (2.83e-1)"	"unprognostic (8.92e-3)"	"unprognostic (2.54e-3)"	"unprognostic (8.22e-4)"	"unprognostic (3.17e-2)"	"unprognostic (1.64e-1)"	"unprognostic (2.97e-2)"	"unprognostic (1.48e-1)"	"unprognostic (3.96e-1)"	"unprognostic (2.38e-2)"	"unprognostic (9.61e-2)"	"unprognostic (1.41e-1)"	"unprognostic (1.15e-1)"	"unprognostic (3.32e-2)"	"unprognostic (9.45e-2)"	"unprognostic (1.77e-1)"	"unprognostic (3.52e-1)"	"unprognostic (1.13e-1)"	"unprognostic (2.78e-1)"
PCDHA5	"CNR6, CNRN6, CNRS6, CRNR6, PCDH-ALPHA5"	ENSG00000204965	"Protocadherin alpha 5"	Q9Y5H7	5	140821604-141012347	"Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	5	"brain: 2.8"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 1.1;Horizontal cells: 1.3"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Neuroblastoma: 1.6"	"Testis - Early spermatids"	"Low region specificity"	"Detected in many"							HPA044557	Approved		Approved	"Nuclear speckles,Plasma membrane,Mitochondria"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 2: Neurons - Nucleosome"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"		"Plasma membrane"	"Nuclear speckles, Mitochondria"	"HPA044557: AB_10970597"			"unprognostic (9.17e-2)"												"unprognostic (7.91e-2)"																
PCLO	"ACZ, DKFZp779G1236, KIAA0559"	ENSG00000186472	"Piccolo presynaptic cytomatrix protein"	Q9Y6V0	7	82754012-83162930	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			Neurodegeneration	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"brain: 22.4;pituitary gland: 10.8;retina: 21.0"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 632.9;Horizontal cells: 173.1;Inhibitory neurons: 715.2"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Colon enteroendocrine cells, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary gland ductal cells, Pituitary gland - Lactotropes, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"							"HPA015858, HPA029579, CAB079012"	Approved	Supported	Approved	"Nuclear speckles,Plasma membrane"			NA	NA		25000000		"Cluster 28: Neuronal - Transcription"	"Cluster 35: Non-specific - DNA binding"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 69: Neurons - Neuronal signaling"	1	"Plasma membrane"	"Nuclear speckles"	"CAB079012: , HPA015858: AB_1855071, HPA029579: AB_10602044"	"unprognostic (3.15e-1)"	"unprognostic (6.08e-2)"	"unprognostic (1.96e-2)"	"unprognostic (3.14e-1)"	"unprognostic (1.01e-1)"	"unprognostic (7.73e-2)"	"unprognostic (1.54e-1)"	"unprognostic (8.10e-2)"	"unprognostic (8.07e-2)"	"unprognostic (2.75e-2)"	"unprognostic (3.35e-5)"	"unprognostic (1.76e-2)"	"unprognostic (1.25e-2)"			"unprognostic (2.29e-1)"	"unprognostic (2.72e-1)"	"unprognostic (6.28e-2)"	"unprognostic (2.80e-1)"			"unprognostic (1.92e-1)"	"unprognostic (1.23e-1)"	"unprognostic (1.77e-1)"	"unprognostic (6.89e-2)"	"unprognostic (9.22e-2)"	"unprognostic (8.95e-3)"	"unprognostic (1.69e-2)"	"unprognostic (1.54e-1)"	"unprognostic (6.69e-5)"	
PCP2	"GPSM4, MGC41903"	ENSG00000174788	"Purkinje cell protein 2"	Q8IVA1	19	7631611-7633719	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 116.2;retina: 32.3;testis: 109.3"	"Cell type enriched"	"Detected in many"	7	"Late spermatids: 4062.1"	"Cell type enhanced"	"Detected in some"		"bergmann glia: 4.1;leukocyte: 1.3"	"Low cancer specificity"	"Detected in many"			"Group enriched"	"Detected in all"	5	"cerebellum: 115.1;white matter: 36.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Leukemia: 4.9"	"Breast - Breast glandular cells, Kidney - Ascending Loop of Henle cells, Testis - Late spermatids"	"Region enriched"	"Detected in many"	44	"cerebellum: 2160.1"	"Region enriched"	"Detected in all"	25	"cerebellum: 324.4"	HPA057428			Approved	"Nuclear speckles,Vesicles"			Yes	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 78: Testis - Transcription"	"Cluster 35: Non-specific - DNA binding"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 25: Bipolar cells - Visual perception"	4	"Nuclear speckles"	Vesicles	"HPA057428: AB_2683436"	"unprognostic (9.73e-2)"	"unprognostic (3.67e-3)"	"unprognostic (2.80e-2)"	"unprognostic (3.27e-4)"		"unprognostic (5.69e-2)"			"unprognostic (1.34e-4)"	"unprognostic (3.05e-2)"	"unprognostic (2.51e-1)"	"unprognostic (4.38e-2)"	"unprognostic (2.62e-2)"		"unprognostic (2.45e-1)"	"unprognostic (2.74e-3)"	"unprognostic (8.15e-2)"	"unprognostic (1.76e-1)"	"unprognostic (3.19e-2)"	"unprognostic (1.03e-1)"	"unprognostic (1.20e-1)"	"unprognostic (8.32e-3)"		"unprognostic (1.50e-1)"		"unprognostic (1.64e-1)"	"unprognostic (1.21e-2)"		"unprognostic (3.34e-1)"	"unprognostic (4.65e-1)"	"unprognostic (1.52e-1)"
PDZK1IP1	"DD96, MAP17, SPAP"	ENSG00000162366	"PDZK1 interacting protein 1"	Q13113	1	47183582-47191044	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"kidney: 1015.7"	"Cell type enriched"	"Detected in many"	4	"Proximal tubular cells: 4797.2"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in all"		"Kidney Renal Papillary Cell Carcinoma (TCGA): 1268.2"	"Low region specificity"	"Detected in some"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 6.6"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 497.6"	"Adipose visceral - Mesothelial cells, Colon - Colon enterocytes, Kidney - Proximal tubular cells, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Skin - Keratinocyte (other), Spleen - Erythrocytes"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			HPA014907	Enhanced		Approved	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	73	Cytosol	"Nuclear speckles"	"HPA014907: AB_1855166"	"unprognostic (1.82e-1)"	"unprognostic (1.98e-1)"	"unprognostic (5.51e-2)"	"unprognostic (2.13e-3)"	"unprognostic (1.54e-1)"	"unprognostic (2.33e-1)"	"unprognostic (1.19e-4)"		"unprognostic (1.86e-2)"	"unprognostic (3.30e-2)"	"unprognostic (2.70e-3)"	"unprognostic (9.49e-2)"	"unprognostic (2.08e-2)"	"unprognostic (1.58e-1)"	"unprognostic (9.20e-2)"	"unprognostic (5.90e-2)"	"unprognostic (8.49e-2)"	"unprognostic (1.66e-2)"	"unprognostic (5.07e-3)"	"unprognostic (1.23e-1)"	"unprognostic (3.75e-2)"	"unprognostic (4.61e-4)"	"unprognostic (3.60e-4)"	"unprognostic (8.11e-2)"	"unprognostic (1.42e-1)"	"unprognostic (4.09e-2)"	"unprognostic (2.04e-1)"	"unprognostic (1.28e-1)"	"unprognostic (2.11e-1)"	"unprognostic (2.49e-3)"	"unprognostic (1.40e-1)"
